year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,"Congo, Dem Rep",Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Lao,Latvia,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1880,0.0032711735,0.00047656349,0.0029950941,0.0013897795,0.0018546173,0.00050775742,0.0015756357,0.0035435669,4.3025295e-05,0.017960152,4.4698565e-05,0.0039738724,1.3960632e-05,0.00056455721,0.001120229,0.00014527315,0.0084583741,1.1784874e-05,0.0021626444,0.0014770441,0.00079739955,0.001799945,0.0016496615,0.0031440998,0.00042521354,0.0016237167,0.26392078,0.0020658257,0.00027889581,0.0045797341,0.00013650251,0.0015665687,0.0010327335,0.00018507923,0.0038800999,0.00096540578,0.0014924434,0.00023881963,0.00081901508,0.0059051444,0.00041835269,0.00042906374,0.0068093254,7.5280885e-05,0.0014680594,0.028002139,0.00014032985,9.1592541e-05,0.031197159,0.0012098093,0.0029038459,0.00082714309,9.1117479e-05,0.00092276651,0.00031268876,0.00012084417,0.0044963355,5.5977504e-05,0.18445767,0.025963889,0.0064651757,0.0013054272,0.0037314671,0.0004818546,0.021181077,0.00041070284,0.0263971,0.0002044452,0.002507647,0.0020660246,5.4240176e-05,0.00065150886,0.00064687611,0.000758373,0.00024510123,0.00027807799,0.00052595651,0.00099987013,0.00011575803,5.3822718e-05,0.0021793118,0.00095066044,0.00085523247,3.119911e-05,0.0012446584,0.00012736225,0.0003394089,0.00016243842,0.0074579138,0.0010157385,0.00048858038,0.0029307147,0.0028783395,0.0042076721,0.00015651801,0.0035464356,0.0028995427,0.00037293154,0.00027539561,0.001104054,0.010732119,0.0013762609,0.015521551,0.00014702108,0.00037004476,0.00028878287,0.0021343159,0.0041377475,0.014242758,0.0033061816,9.4041934e-06,0.0070111132,0.044315919,0.00082335901,0.001733131,0.00089565682,0.0029009478,0.00070442347,8.6419714e-05,0.0015056951,0.00059920934,0.0024280746,0.007028684,0.012090871,0.0021665888,0.0046560671,9.3622715e-05,0.003278929,0.0020360628,0.001203288,0.00057323865,0.0026781985,0.0044626282,0.00039553927,1.1984243e-05,0.00012335429,0.00095914793,0.0089925369,0.0018637066,0.015987473,2.6795275e-05,0.024830787,0.036187269,0.00033276968,0.0013999277,0.0090199728,0.0021108326,0.00086168962,0.00096299686
1890,0.0032554974,0.00048083669,0.0030310366,0.0014170408,0.0022359567,0.00050174631,0.0020577956,0.0035724973,4.2515934e-05,0.017869771,4.7423102e-05,0.0040374384,1.4811581e-05,0.00057563127,0.0010789022,0.00014812275,0.0094041321,1.2219997e-05,0.0022816563,0.0015060169,0.00081304088,0.0017746814,0.0016820204,0.0032572381,0.00043355438,0.0017271502,0.2516776,0.0022313206,0.00028436654,0.0046695676,0.00016138275,0.0015670761,0.0010259174,0.00018288814,0.0039475174,0.00098434254,0.001519338,0.00028081922,0.00084179535,0.0062381392,0.00044683815,0.00044023123,0.0069428948,7.8060417e-05,0.0015656996,0.026501652,0.00014308248,9.3389186e-05,0.031530567,0.0011887223,0.002968471,0.00081243296,9.8531709e-05,0.00094268721,0.00030996083,0.00014173423,0.0043858136,5.7434463e-05,0.18519895,0.026844637,0.0063677975,0.0013646656,0.0031247761,0.0004761501,0.020996535,0.00042807267,0.026543377,0.00020143449,0.0024779607,0.0021065511,5.3598051e-05,0.00064379605,0.00069473183,0.00077811157,0.00024990903,0.00028353263,0.000507285,0.0010258945,0.00011877093,5.5809975e-05,0.0021622395,0.00096930814,0.0010497605,3.1042116e-05,0.001269073,0.00012740356,0.00034606655,0.00016562473,0.0077682277,0.001033387,0.00045998167,0.0029121283,0.0028697923,0.0049600359,0.00015958819,0.0034387109,0.0030035735,0.0004404358,0.00028545537,0.0011257106,0.010942636,0.0013226321,0.015443442,0.00015498041,0.00038370764,0.00027905306,0.0022160874,0.0042891162,0.015136421,0.0033300922,9.2928613e-06,0.0068701361,0.045085914,0.00083950971,0.0016526007,0.00091322541,0.0029018885,0.00071824109,0.00010398259,0.0015318566,0.00059940357,0.002797734,0.0065224236,0.01176063,0.0022141007,0.0044473601,9.5459181e-05,0.0031658392,0.0019544752,0.0011746906,0.00056645233,0.0027307328,0.0044176043,0.00040329801,1.2426728e-05,0.00014570808,0.0009926632,0.008798535,0.0019002639,0.016265254,2.6478054e-05,0.02482667,0.041925516,0.00045434429,0.0014729763,0.0096870316,0.0020177336,0.00087859202,0.00098188641
1900,0.0032445015,0.00049256528,0.0030641856,0.0014377852,0.0028895109,0.00049656222,0.0023033584,0.0036776154,4.2076656e-05,0.017714726,4.9827551e-05,0.0041369325,1.556256e-05,0.00058405811,0.0010442383,0.00015029116,0.011072867,1.3034838e-05,0.0024628262,0.0015280641,0.00082494307,0.0017543341,0.0017066438,0.0033599108,0.00043990125,0.0018218672,0.24628264,0.002461595,0.00028852944,0.0047379271,0.00018286485,0.001570473,0.0010208415,0.00018099851,0.0040163607,0.00099875254,0.0015768246,0.00031708888,0.00086198922,0.0065287375,0.00047163124,0.00045490375,0.0070445333,8.326555e-05,0.0016291596,0.024996456,0.00014517709,9.4756339e-05,0.033487048,0.0011715179,0.003055136,0.00080041855,0.00010692437,0.00096050225,0.00030785328,0.00018840621,0.004388141,5.9348706e-05,0.17516851,0.027768096,0.0062890137,0.0014165547,0.0027515928,0.00047123048,0.020732071,0.00044330873,0.027154507,0.00019900208,0.0024523586,0.0021373895,5.3044281e-05,0.00063714432,0.00073634204,0.00080404535,0.00025356753,0.00028768333,0.00049163884,0.0010600868,0.00012272949,5.9531427e-05,0.0021492182,0.00098349806,0.001374257,3.0772782e-05,0.0012876512,0.00012767974,0.00035113265,0.00016804937,0.008377919,0.0010514088,0.00043577707,0.0028983743,0.0028646241,0.0062641986,0.00016192443,0.0032527777,0.0031659631,0.0004968752,0.00029430774,0.00114219,0.011102827,0.0013730257,0.015309449,0.00016193083,0.00040929369,0.00027091088,0.0022460977,0.004509435,0.015238738,0.0033272784,9.1968468e-06,0.0067727724,0.0458722,0.00085179956,0.0015847142,0.00092659431,0.0029081786,0.00072875567,0.00013237691,0.0015585721,0.00060070294,0.0031172079,0.0060930322,0.011431208,0.0024086442,0.0042715454,9.6856638e-05,0.0031505704,0.0020318318,0.0011510276,0.00056059979,0.0027707089,0.0045069722,0.00040920201,1.3255352e-05,0.00016500936,0.0010221874,0.0086386343,0.0019280821,0.016548915,2.6204483e-05,0.025339404,0.047034442,0.00056337152,0.0015651261,0.010267036,0.0019393323,0.00089145399,0.00099626044
1910,0.0031784344,0.00049396837,0.0030389398,0.0014280818,0.0038635789,0.00048316873,0.0024726677,0.0037381086,4.0941755e-05,0.017645236,5.5006774e-05,0.0042377287,1.7180184e-05,0.00058011647,0.0010382379,0.00014927688,0.012556066,1.3688958e-05,0.0025546192,0.0015177515,0.0008193758,0.0017063215,0.0016951259,0.0040625227,0.00043693249,0.0018748,0.23907165,0.0027637361,0.00028658222,0.004705952,0.00020516079,0.0015595097,0.0012541371,0.00017611656,0.0040155379,0.00099201209,0.0016288523,0.00038884467,0.00091389805,0.0066626584,0.00053466141,0.0004715074,0.0069969911,8.7444008e-05,0.0016554157,0.023299031,0.00014419731,9.411684e-05,0.035540856,0.0011363691,0.003006764,0.00081442617,0.00011686244,0.0010224128,0.00034984716,0.00025163608,0.0043202452,6.1514889e-05,0.17074125,0.028278308,0.0061119087,0.001436086,0.0024783197,0.00045852023,0.020669807,0.00045666643,0.027986644,0.00019344971,0.0023862126,0.0021229647,5.1613544e-05,0.00061995909,0.00075898581,0.00083339249,0.00025185623,0.00028574181,0.00046969799,0.0010987794,0.00012720902,6.2518862e-05,0.0021005583,0.00097686052,0.0016350693,3.0652071e-05,0.001278961,0.00012678844,0.00034876296,0.00016691526,0.0084777186,0.0010511936,0.00040750881,0.0028360004,0.0028101674,0.0067493943,0.00016083164,0.0031406251,0.0033470031,0.00059061439,0.00031254522,0.0011344817,0.011027895,0.001347392,0.015249393,0.00018424907,0.00042983299,0.00031311039,0.0023381547,0.0050080707,0.015058689,0.0033255264,8.9487867e-06,0.0067064404,0.045862809,0.00084605097,0.0014990972,0.00092034094,0.0028878767,0.00072383747,0.00016846749,0.001558253,0.00059650949,0.0033353709,0.0057060695,0.011223368,0.002638266,0.0040468872,9.6202981e-05,0.0031079315,0.0021109518,0.0011107257,0.00054547907,0.0027520095,0.0046938299,0.00040644035,1.3920537e-05,0.00018707498,0.0010295236,0.0083512627,0.0019150698,0.016545527,2.5497688e-05,0.02538568,0.052430168,0.00061096088,0.0015853334,0.010582611,0.0018385476,0.00088543765,0.00098953675
1920,0.0032446014,0.00048868998,0.003219184,0.0015237019,0.0046462254,0.00049850607,0.0028094433,0.0033846502,4.224138e-05,0.017912185,6.054253e-05,0.0039598574,1.8909157e-05,0.00061895925,0.001120002,0.00015927199,0.014369165,1.4652163e-05,0.0026594803,0.0016193755,0.00087423855,0.0017487375,0.0018086263,0.0046131918,0.00046618818,0.0019519276,0.24749108,0.0032577587,0.00030577087,0.0050210482,0.00022022511,0.0015199442,0.0015714634,0.00018170707,0.0038066809,0.0010584341,0.0016999281,0.0004608997,0.00093857845,0.0072657824,0.00061348424,0.00047067547,0.0074654887,9.3596893e-05,0.0016427744,0.020449474,0.00015385232,0.00010041862,0.031929497,0.0013940813,0.0029887694,0.00083737978,0.00012894445,0.0011137099,0.00037752878,0.0003397759,0.0041685468,6.1406347e-05,0.16023998,0.028835196,0.0062966668,0.0016231199,0.0022866707,0.00047307517,0.019609474,0.0004483154,0.029267916,0.00020362715,0.0024619589,0.0022651115,5.325193e-05,0.00063963857,0.00077676668,0.00083192193,0.00026871974,0.00030487424,0.00045283485,0.0010968404,0.00012698455,6.6917928e-05,0.0020672672,0.0010422681,0.0018588048,3.11158e-05,0.0013645963,0.00012357175,0.00037211503,0.00017809142,0.0078127477,0.00099651865,0.00038546315,0.0030997843,0.0027746921,0.0068668285,0.00017160043,0.0032891969,0.0035907179,0.00065071275,0.00033558114,0.0012104431,0.011766287,0.0013816505,0.015480099,0.00025535625,0.0004600776,0.00036651752,0.0024591803,0.0056236056,0.012567513,0.003161279,9.232851e-06,0.0064704237,0.043477386,0.00090269989,0.0015205822,0.00098196417,0.0028146098,0.00077230344,0.0002050191,0.0014772047,0.00058137579,0.0039646314,0.0061893743,0.011132903,0.002752814,0.0038712632,0.00010264444,0.0030810542,0.0020328874,0.001194445,0.00056279433,0.0029362757,0.0051396345,0.00043365435,1.4900036e-05,0.0002039704,0.0011439301,0.0074529946,0.0020432968,0.01568496,2.6307067e-05,0.02455038,0.056042571,0.00071887771,0.0015688417,0.010736428,0.0018700658,0.0009447239,0.0010557933
1930,0.0032587289,0.00046770583,0.0033611928,0.001587122,0.0056658131,0.00051235303,0.0030810479,0.0031834478,4.3414719e-05,0.018083904,6.4742992e-05,0.0038464279,2.0221083e-05,0.00064472179,0.0011416404,0.00016590126,0.015987728,1.5622867e-05,0.0028705327,0.0016867775,0.00091062649,0.0017687952,0.0018839055,0.0049952124,0.00048559197,0.0020316893,0.23290035,0.0037692708,0.00031849777,0.0052300347,0.00023813942,0.0015148408,0.0018274819,0.00018675432,0.0039727977,0.0011024886,0.0016869797,0.00059820624,0.0009258861,0.0077651571,0.00068584154,0.00045265854,0.0077762189,9.9797668e-05,0.0016426857,0.019817963,0.00016025602,0.00010459829,0.030998133,0.0016852126,0.003024847,0.00084348983,0.00013991004,0.0011535473,0.00045246491,0.00039102492,0.0041193357,5.9055787e-05,0.16022021,0.029436182,0.0064097992,0.0018026322,0.0013940681,0.00048621575,0.01942789,0.00048056536,0.030578531,0.00021241159,0.0025303443,0.0023593907,5.473111e-05,0.00065740582,0.00076979189,0.00080007699,0.00027990446,0.00031756377,0.00042683212,0.0010548547,0.00012212373,7.1351235e-05,0.0019853795,0.0010856495,0.0021018186,3.1414103e-05,0.0014213941,0.00012315683,0.0003876033,0.00018550396,0.0081800893,0.0010400048,0.00035702164,0.0033604372,0.0026725426,0.0069131874,0.0001787428,0.0034190197,0.0037549825,0.00071108434,0.00032386961,0.0012608245,0.012256026,0.0013369147,0.015628502,0.00024528359,0.00049055764,0.0004191254,0.002610008,0.0062840232,0.013432968,0.0032310756,9.4893121e-06,0.006735059,0.045374651,0.00094027229,0.0015335744,0.0010228358,0.0028051587,0.0008044485,0.0002838622,0.0015416674,0.00057942374,0.0045592668,0.0066202758,0.011166357,0.0027181234,0.0036224546,0.00010691673,0.0029200655,0.0019294056,0.0012781651,0.00057842705,0.0030584899,0.0059020473,0.00045170399,1.5887161e-05,0.00019289293,0.0012511017,0.0071098907,0.0021283436,0.016369419,2.7037795e-05,0.021845005,0.058900453,0.00081586564,0.0015717202,0.010525743,0.0018908337,0.00098404544,0.0010997378
1940,0.0032264683,0.00046828933,0.0034325246,0.0016068829,0.0060985214,0.00052302249,0.0030309681,0.0028859191,4.43188e-05,0.018148171,7.1147559e-05,0.0035922267,2.2221409e-05,0.00065274903,0.0011578109,0.00016796686,0.017695999,1.6698628e-05,0.0028691329,0.0017077789,0.00092196453,0.0017614545,0.0019073618,0.0050306669,0.00049163797,0.0021763418,0.22328533,0.0039486089,0.00032246322,0.0052951528,0.00026685605,0.001524969,0.0019652657,0.0001906434,0.0039194459,0.0011162155,0.0016493425,0.00072051131,0.0010613984,0.0080705648,0.00070157315,0.00043296584,0.0078730388,0.00010666956,0.0015916672,0.017646933,0.00016225134,0.00010590062,0.03005789,0.0019015095,0.0031334064,0.00094690855,0.00015010482,0.0011840661,0.0004949749,0.00076871755,0.0039972453,5.6486584e-05,0.16648374,0.032012336,0.006416399,0.0019257254,0.0012731616,0.00049634092,0.019084942,0.00052166055,0.031405944,0.00021676364,0.0025830367,0.002388767,5.5870856e-05,0.00067109597,0.0007537062,0.00076527015,0.00028338947,0.00032151773,0.00039974306,0.0010089638,0.00011681081,7.6264354e-05,0.0018914414,0.0010991665,0.0023388641,3.1525738e-05,0.0014390916,0.00012398028,0.00039242927,0.00018781361,0.0087774117,0.0010260384,0.00032887026,0.0035291696,0.0025527235,0.0071422728,0.00018096829,0.0034795713,0.0038216368,0.00070415565,0.00035724277,0.0012765226,0.012408623,0.0012796178,0.015684042,0.00029999783,0.00052433665,0.00047818883,0.0027718595,0.0071383994,0.012921428,0.0033034196,9.6869217e-06,0.0068465793,0.044765308,0.00095197937,0.0015235994,0.0010355709,0.0028239146,0.00081446447,0.00032324015,0.0015209641,0.00058329786,0.0049860165,0.0067260638,0.011086147,0.0026401533,0.0033694652,0.00010824794,0.0027357049,0.0018189253,0.0013296852,0.00059047237,0.003096571,0.0066769966,0.00045732805,1.6981125e-05,0.00020487657,0.0013222364,0.0076703895,0.0021548427,0.016149592,2.760084e-05,0.020757096,0.057088688,0.0008457615,0.0016286827,0.010211139,0.0018824333,0.00099629757,0.0011134304
1950,0.0033020985,0.00049717881,0.0036028596,0.001668241,0.0069484101,0.0005490834,0.0033494881,0.0028097362,4.65271e-05,0.018493334,8.5350737e-05,0.0035002159,2.6657468e-05,0.0006776739,0.0011206485,0.00017438061,0.021652311,1.8224735e-05,0.0029375197,0.0017729896,0.0009571691,0.0018114819,0.0019801937,0.0056766882,0.00051041087,0.0024676837,0.22154054,0.0046963277,0.00033477636,0.0054973457,0.00035125532,0.00155467,0.0023436942,0.00020014271,0.003615988,0.0011588376,0.0017303836,0.00095329835,0.0013653277,0.0085881846,0.00078590447,0.0004438833,0.0081736669,0.00011641823,0.0016241946,0.017226048,0.00016844683,0.00010994438,0.027701763,0.0021462485,0.0030653549,0.0012028723,0.00017339124,0.0012548299,0.00057994673,0.00090631424,0.0037832644,5.7910926e-05,0.14544784,0.033469822,0.0066269925,0.0020919545,0.0012004584,0.00052107236,0.019084457,0.00056094653,0.033953357,0.00022739047,0.0027117433,0.0024799805,5.8654776e-05,0.00070453517,0.0007641011,0.00078456668,0.00029421059,0.00033379468,0.00038947002,0.0010344052,0.00011975624,8.3234248e-05,0.001871957,0.0011411376,0.0026066354,3.2125336e-05,0.0014940426,0.00012639498,0.00040741399,0.00019498519,0.01154069,0.00094659883,0.00031542935,0.0037854456,0.0025323494,0.0078953691,0.0001878785,0.0036422387,0.0040974668,0.0007731464,0.00044481756,0.001325266,0.01288244,0.0013228565,0.015982339,0.00036159466,0.00057225663,0.00059786311,0.0030922857,0.0085612722,0.010057374,0.0034205564,1.01696e-05,0.0066083558,0.041299414,0.00098833023,0.0015637875,0.0010751135,0.0028789144,0.00084556441,0.00041410094,0.0014032053,0.00059465843,0.0055083162,0.0084456056,0.01136963,0.003052013,0.0032619012,0.00011238134,0.0028417022,0.0019017608,0.0014159894,0.00061989424,0.0032148121,0.0081198094,0.00047479075,1.8533052e-05,0.00025605303,0.0014249877,0.0085573718,0.0022371246,0.014899229,2.8976126e-05,0.020308813,0.061692171,0.00088900432,0.0020293847,0.010269729,0.0019354242,0.0010343407,0.0011559461
1960,0.003039381,0.00054362073,0.0037591511,0.0017810419,0.0069672787,0.00063100149,0.0034724679,0.0023813951,5.4909819e-05,0.016287236,7.8033634e-05,0.0030930052,3.111019e-05,0.00082165533,0.0012480337,0.00017707175,0.024495909,2.7649035e-05,0.0026584212,0.0016318392,0.00094165199,0.0019336146,0.00181163,0.0060515343,0.00050803972,0.0026004089,0.22540596,0.0055687958,0.00034249359,0.0051524509,0.00045044089,0.0013989246,0.0024130195,0.00019359529,0.0032445609,0.0011741249,0.0015474685,0.0011130706,0.0015359612,0.0091478843,0.00093359535,0.00040938379,0.0074849962,0.00013292588,0.0014967932,0.015818741,0.00016867821,0.00012432487,0.024604481,0.0022478371,0.0028153274,0.0013947194,0.00019065315,0.0013063928,0.00067659735,0.0010392608,0.0033736273,5.9327245e-05,0.15194277,0.029665485,0.0074024415,0.0024632423,0.00095579668,0.00071433687,0.016962705,0.00055044744,0.031256359,0.00030027275,0.003282492,0.0027388646,8.8518136e-05,0.00073402992,0.00071633863,0.00071668834,0.00028769593,0.00037855914,0.00048474967,0.00093888456,0.00010609187,5.7935755e-05,0.0017231004,0.0012227426,0.0027576301,3.0369167e-05,0.001778638,0.00011034271,0.00028997951,0.00022279767,0.012899204,0.00085962907,0.00032287248,0.0041658669,0.0025320123,0.0072603594,0.00020360267,0.0033982869,0.0038813844,0.0008014419,0.00059967773,0.0011472574,0.015277209,0.0012101168,0.015175902,0.00038282012,0.00066464359,0.00064298866,0.0033998326,0.0088777728,0.010014628,0.0029930621,1.5985925e-05,0.0062197759,0.040513735,0.00099121721,0.0013808599,0.0010737118,0.0026804013,0.0007372066,0.00055632595,0.0013746276,0.000535484,0.0058781868,0.0084517933,0.010290882,0.003343903,0.0025435593,0.0001180074,0.0025290989,0.0018002967,0.00155192,0.0006974467,0.0034042154,0.0092576295,0.00053406245,2.0814918e-05,0.00028670556,0.0014261939,0.0093103768,0.0022937669,0.014415734,3.129401e-05,0.017706195,0.061049547,0.00085782161,0.0027528557,0.011739816,0.0017457197,0.0010304688,0.0012679495
1970,0.0030974303,0.00059477024,0.0040524523,0.0017549359,0.0066769393,0.00070142298,0.0034834298,0.0020797208,5.9352831e-05,0.01811726,6.6523287e-05,0.0026892482,3.4029101e-05,0.00080986723,0.001254941,0.00019301911,0.026732881,3.6131914e-05,0.0023645028,0.0015665538,0.00096286961,0.0019558079,0.001885839,0.0059391265,0.00050932943,0.0026631563,0.22791579,0.0061444542,0.00037184716,0.005573126,0.00051494519,0.0012285447,0.0024273223,0.0001709042,0.0027456542,0.0014599696,0.0013727496,0.0012542001,0.0016913087,0.0096948361,0.0010217704,0.0003788062,0.0079141008,0.0001449769,0.0012829413,0.014492732,0.00016435901,0.00012457655,0.021771586,0.0023944164,0.0024489583,0.0015105123,0.00019372655,0.0013114427,0.00074957911,0.0011026544,0.0028792983,5.6939749e-05,0.15428339,0.031983603,0.0079416772,0.0027623407,0.00082364859,0.00082831376,0.014990375,0.00052055094,0.029062005,0.00046088363,0.0035531276,0.003134019,0.00020894005,0.00082438666,0.00074810744,0.0006570706,0.00028749785,0.00039542039,0.00058886147,0.0008744612,9.4465366e-05,6.9907284e-05,0.0018316209,0.0012822261,0.0030382555,3.2225416e-05,0.001656918,8.4293599e-05,0.00031999205,0.0002300562,0.014491274,0.00084781006,0.00035617632,0.0044673239,0.0025796592,0.0075662434,0.00021735187,0.0033385931,0.0036314696,0.00078283169,0.00066791364,0.0012525962,0.015633753,0.0010794713,0.016180316,0.00042315107,0.00067812408,0.00068908295,0.003715734,0.0099722771,0.0090976087,0.0024176599,3.0450139e-05,0.0056401086,0.036319915,0.0010457102,0.0016255432,0.0011747221,0.0024178736,0.00070023735,0.00057778647,0.0012639787,0.0004804139,0.0061516361,0.0089796642,0.0094179697,0.0034853795,0.0028500115,0.00012417577,0.0022400683,0.0017214881,0.0017766138,0.00081315846,0.0037893835,0.010273127,0.00058921153,2.3498598e-05,0.0002634773,0.001427964,0.0096846512,0.0026308915,0.01311453,6.5572705e-05,0.01550324,0.057110757,0.00078258076,0.0032274041,0.011900813,0.0017146246,0.0011657048,0.0014500535
